Country,Number of births (2021),Number of deaths (2021),Suicide_Rate,Fertility _Rate,life - expectancy,Median-AGE,Infant_mortality_Rate
India,23114000,13299618,12.7,2.2,67.2,28.7,27.01
China,10881567,10617528,8.1,1.7,78.2,38.4,5.47
Nigeria,7923294,2792704,3.5,5.4,52.7,18.6,72.24
Pakistan,6374741,1660400,8.9,3.5,66.1,22.0,54.15
Indonesia,4496383,2755190,2.4,2.3,67.6,31.1,19.55
Ethiopia,3895734,815212,5.4,4.2,65.0,19.8,35.37
United States,3722822,3280682,16.1,1.7,77.2,38.5,5.44
Bangladesh,3019672,962479,3.7,2,72.4,27.9,24.32
Brazil,2760958,1784239,6.9,1.7,72.8,33.2,13.13
Philippines,2485008,832888,2.2,2.6,69.3,24.1,20.95
Egypt,2465005,691381,3,3.3,70.2,24.1,16.65
Tanzania,2303114,395720,4.3,4.9,66.2,18.2,34.72
Mexico,1882362,1191718,5.3,2.1,70.2,29.3,11.77
Uganda,1686795,269420,4.6,5,62.7,15.7,31.86
Sudan,1534332,310515,3.8,4.4,65.3,18.3,39.92
Kenya,1468358,427272,6.1,3.5,61.4,20.0,31.15
Vietnam,1462623,713131,7.5,2,73.6,31.9,16.7
Afghanistan,1440941,295236,4.1,4.5,62.0,19.5,44.97
Russia,1397456,2458539,25.1,1.6,69.4,40.3,4.36
Angola,1338792,276278,6.1,5.5,61.6,15.9,48.34
Turkey,1244782,542597,2.4,2.1,76.0,32.2,8.13
Iran,1204105,565768,5.2,2.1,73.9,31.7,11.14
Iraq,1192345,207099,3.6,3.7,70.4,21.2,21.32
South Africa,1176955,678798,23.5,2.4,62.3,28.0,25.78
Mozambique,1174346,282145,13.6,4.9,59.3,17.0,52.77
Niger,1144371,205694,5.3,6.9,61.6,14.8,45.61
Algeria,950888,200842,2.5,3,76.4,28.9,19.46
Cameroon,950546,233498,9,4.6,60.3,18.5,48.34
Mali,912901,203297,4.1,5.9,58.9,16.1,58.77
Ghana,904679,250471,6.6,3.9,63.8,21.4,33.02
Madagascar,895045,205436,5.5,4.1,64.5,20.3,36.26
Japan,818509,1574533,15.3,1.4,84.8,48.6,1.82
Uzbekistan,802875,220493,8,2.4,70.9,30.1,12.46
Burkina Faso,785817,198073,7.5,5.2,59.3,17.9,52.82
Germany,763168,1039440,12.3,1.6,80.6,47.8,3.1
Chad,744834,214803,6.4,5.7,52.5,16.1,67.4
Colombia,730203,397649,3.9,1.8,72.8,31.2,11.35
France,677303,639714,13.8,1.9,82.5,41.7,3.45
United Kingdom,677219,652723,7.9,1.7,80.7,40.6,3.62
Zambia,672000,135787,7.3,4.6,61.2,16.9,41.66
Malawi,653703,138931,5.4,4.2,62.9,16.8,29.02
Morocco,650892,228888,7.2,2.4,74.0,29.1,16.02
Thailand,644325,567168,8.8,1.5,78.7,39.0,7.41
Argentina,629391,405428,8.4,2.3,75.4,32.4,7.61
Saudi Arabia,629339,103140,6,2.3,76.9,30.8,5.99
Nepal,609790,232398,9,1.9,68.4,25.3,23.59
Peru,593523,269050,2.8,2.3,72.4,29.1,9.95
Senegal,549984,99995,6,4.6,67.1,19.4,28.85
Malaysia,511313,202436,5.7,2,74.9,29.2,7.38
Zimbabwe,488807,144973,14.1,3.6,59.3,20.5,37.93
Benin,475832,122627,7.8,4.8,59.8,17.0,56.54
Guinea,465954,135224,7,4.7,58.9,19.1,61.99
Venezuela,451855,231205,2.1,2.3,70.6,30.0,21.06
Burundi,437599,93864,6.2,5.4,61.7,17.7,38.64
Kazakhstan,413483,196490,17.6,2.8,69.4,31.6,8.92
Italy,410487,680373,6.7,1.3,82.9,46.5,2.47
Rwanda,403681,84576,5.6,4,66.1,19.7,30.27
Canada,373728,297242,11.8,1.5,82.7,41.8,4.38
Guatemala,372146,114597,5.9,2.9,69.2,23.2,20.06
Poland,363427,502541,11.3,1.5,76.5,41.9,3.74
Spain,357652,454123,7.7,1.3,83.0,43.9,2.71
North Korea,343885,241887,9.4,1.9,73.3,34.6,11.6
Ukraine,336096,731364,21.6,1.3,71.6,41.2,6.94
Cambodia,320934,113507,4.9,2.5,69.6,26.4,22.05
South Sudan,313347,118956,3.9,4.7,55.0,18.6,63.34
Sri Lanka,305877,160593,14,2.2,76.4,33.7,5.92
Ecuador,298989,119463,7.6,2.4,73.7,28.8,11.15
Australia,298496,166082,12.5,1.7,84.5,37.5,3.14
South Korea,289006,334677,28.6,1,83.7,43.2,2.59
Togo,275435,70622,8.8,4.3,61.6,20.0,44.36
Haiti,269377,99459,9.6,2.9,63.2,24.1,46.66
Sierra Leone,264106,76745,6.7,4.3,60.1,19.1,80.1
Bolivia,263820,120158,6.2,2.7,63.6,25.3,20.72
Tajikistan,260838,44345,4.3,3.6,71.6,25.3,28.35
Papua New Guinea,253720,66458,3,3.6,65.4,24.0,35.23
Jordan,244557,43100,1.6,2.8,74.3,23.5,12.92
Central African Republic,234821,62683,12.3,4.7,53.9,20.0,77.5
Chile,229116,144326,9,1.6,78.9,35.5,5.77
Honduras,216645,57654,2.1,2.5,70.1,24.4,13.94
Dominican Republic,205050,74290,4.9,2.3,72.6,27.9,27.87
Tunisia,197396,96709,3.3,2.2,73.8,32.7,14.29
Romania,195366,314232,9.7,1.8,74.2,42.5,5.63
Netherlands,180273,168003,11.8,1.6,81.7,42.8,3.58
Israel,174335,49845,5.3,3.1,82.3,30.4,2.9
Laos,163261,49136,5.4,2.7,68.1,24.0,35.34
Liberia,162685,45955,4.5,4.3,60.7,18.0,58.15
Kyrgyzstan,157661,40495,7.4,3.3,70.0,27.3,15.67
Mauritania,153242,34347,3.1,4.6,64.4,21.0,49.02
Nicaragua,140589,33308,4.4,1.7,73.8,27.3,13.79
Paraguay,138365,51237,6,2.4,70.3,29.7,16.18
Turkmenistan,136968,41769,5.7,2.8,69.3,29.2,36.1
Azerbaijan,127085,94932,4.1,1.7,69.4,32.6,17.32
Libya,120072,40532,4.5,2.2,71.9,25.8,9.53
Belgium,116448,110280,18.3,1.6,81.9,41.6,3.44
Sweden,113322,92278,14.7,1.8,83.0,41.1,2.15
Eritrea,103861,24415,10.9,4.1,66.5,20.3,29.69
El Salvador,101405,54803,6.1,2,70.7,27.7,11.08
Cuba,100445,164950,14.5,1.6,73.7,42.1,4.08
United Arab Emirates,96536,17548,6.4,1.4,78.7,38.4,5.62
Hungary,91895,154245,16.6,1.6,74.5,43.6,3.36
Belarus,88853,158349,21.2,1.4,72.4,40.9,2.19
Switzerland,87086,69734,14.5,1.5,84.0,42.7,3.52
Austria,84647,89691,14.6,1.5,81.6,44.5,2.97
Lebanon,84450,46727,2.8,2.1,75.0,33.7,5.97
Oman,83496,17206,4.9,2.9,72.5,26.2,6.45
Portugal,80480,123550,11.5,1.4,81.0,44.6,2.73
Greece,79072,135773,5.1,1.4,80.1,45.3,3.58
Panama,76933,26382,2.9,2.5,76.2,30.1,12.34
Mongolia,71668,20520,17.9,2.9,71.0,29.8,13.22
Namibia,69486,27119,9.7,3.4,59.3,21.8,30.14
Serbia,67609,138202,11.4,1.5,74.2,43.4,4.87
New Zealand,63557,33869,11,2,82.5,37.2,3.93
Gabon,63525,16987,8.4,4,65.8,21.0,30.69
Denmark,63148,58422,10.7,1.7,81.4,42.0,3.13
Costa Rica,61176,37055,8.1,1.8,77.0,32.6,6.73
Botswana,60999,24478,16.1,2.9,61.1,25.7,36.08
Lesotho,59581,32376,72.4,3.1,53.1,24.7,69.88
Ireland,58563,35151,9.6,1.8,82.0,37.8,2.62
Bulgaria,58112,153894,9.7,1.6,71.8,43.7,5.14
Slovakia,54351,72471,12.1,1.5,74.9,41.8,4.69
Norway,53868,41871,11.8,1.6,83.2,39.5,1.79
Georgia,50430,57023,9.2,2.1,71.7,38.6,8.23
Equatorial Guinea,49749,14750,7.9,4.5,60.6,20.3,58.28
Finland,46891,57283,15.3,1.4,82.0,42.8,1.88
Kuwait,44412,12398,2.9,2.1,78.7,29.7,7.58
Singapore,42215,31862,11.2,1.1,82.8,35.6,1.85
Moldova,38146,50200,14.7,1.3,68.8,37.7,12.46
Uruguay,35892,41681,21.2,2,75.4,35.5,5.32
Croatia,34733,62262,16.4,1.5,77.6,43.9,3.87
Armenia,33700,36379,3.3,1.8,72.0,36.6,9.74
Jamaica,33150,24899,2.4,2,70.5,29.4,11.43
Albania,29289,32392,4.3,1.6,76.5,34.3,8.76
Bosnia and Herzegovina,27646,51587,10.9,1.3,75.3,43.3,4.95
Lithuania,26862,50975,26.1,1.6,73.7,44.5,2.68
Qatar,26529,3542,5.8,1.9,79.3,33.7,4.93
Djibouti,24541,10109,9.6,2.7,62.3,24.9,47.18
Comoros,24180,7171,5.4,4.2,63.4,20.9,47.23
Solomon Islands,21098,3561,14.7,4.4,70.3,23.5,16.58
North Macedonia,20114,29194,9.4,1.5,73.8,39.0,5.2
Slovenia,19147,22948,19.8,1.6,80.7,44.9,1.76
Fiji,17943,8218,9,2.8,67.1,29.9,23.03
Trinidad and Tobago,17814,13917,8.7,1.7,73.0,37.8,14.83
Bahrain,17501,3638,8.9,2,78.8,32.9,5.79
Latvia,17024,36094,20.1,1.6,73.6,44.4,3.44
Guyana,16375,8057,40.3,2.5,65.7,27.5,23.78
Estonia,13639,18826,14.9,1.7,77.1,43.7,1.65
Mauritius,13437,12527,9.5,1.4,73.6,36.3,14.8
Cyprus,12820,9021,3.6,1.3,81.2,37.9,2.25
Suriname,11133,5315,25.4,2.4,70.3,31.0,15.7
Bhutan,9703,5035,4.6,2,71.8,29.1,23.18
Vanuatu,9398,1722,18,3.8,70.4,23.0,21.07
Maldives,7337,1573,2.7,1.9,79.9,29.5,5.52
Belize,7186,2540,7.1,2.3,70.5,23.9,10.03
Montenegro,6965,7556,21,1.7,76.3,39.6,1.95
Luxembourg,6589,4341,11.3,1.4,82.6,39.5,2.28
