Country,Population,area,Land_area
China,"1,425,893,465","9,706,961","9,424,703"
India,"1,407,563,842","3,287,590","2,973,190"
United States,"336,997,624","9,372,610","9,147,420"
Indonesia,"273,753,191","1,904,569","1,877,519"
Pakistan,"231,402,117","881,912","770,880"
Nigeria,"213,401,323","923,768","910,770"
Brazil,"214,326,223","8,515,767","8,358,140"
Bangladesh,"169,356,251","147,570","130,170"
Russia,"145,102,755","17,098,242","16,376,870"
Mexico,"126,705,138","1,964,375","1,943,950"
Japan,"124,612,530","377,930","364,500"
Ethiopia,"120,283,026","1,104,300","1,128,571"
Philippines,"113,880,328","342,353","298,170"
Egypt,"109,262,178","1,002,450","995,450"
DR Congo,"95,894,118","2,344,858","2,267,050"
Vietnam,"97,468,029","331,212","313,429"
Iran,"87,923,432","1,648,195","1,622,500"
Turkey,"84,775,404","783,562","783,562"
Germany,"83,408,554","357,114","349,390"
Thailand,"71,601,103","513,120","510,890"
United Kingdom,"67,281,039","242,900","241,930"
Tanzania,"63,588,334","945,087","885,800"
France,"64,531,444","551,695","547,557"
South Africa,"59,392,255","1,221,037","1,213,090"
Italy,"59,240,329","301,336","295,717"
Myanmar,"53,798,084","676,578","652,670"
Kenya,"53,005,614","580,367","569,140"
Colombia,"51,516,562","1,141,748","1,109,500"
South Korea,"51,830,139","100,210","97,600"
Spain,"47,486,935","505,992","499,557"
Uganda,"45,853,778","241,550","200,520"
Sudan,"45,657,202","1,886,068","1,868,000"
Argentina,"45,276,780","2,780,400","2,736,690"
Algeria,"44,177,969","2,381,741","2,381,741"
Iraq,"43,533,592","438,317","434,128"
Afghanistan,"40,099,462","652,230","652,230"
Poland,"38,307,726","312,679","306,130"
Ukraine,"43,531,422","603,500","579,400"
Canada,"38,155,012","9,984,670","8,965,590"
Morocco,"37,076,584","446,550","446,300"
Saudi Arabia,"35,950,396","2,149,690","2,149,690"
Angola,"34,503,774","1,246,700","1,246,700"
Uzbekistan,"34,081,449","447,400","440,650"
Peru,"33,715,471","1,285,216","1,280,000"
Malaysia,"33,573,874","330,803","328,550"
Yemen,"32,981,641","527,968","527,970"
Ghana,"32,833,031","238,533","227,533"
Mozambique,"32,077,072","801,590","786,380"
Nepal,"30,034,989","147,181","143,350"
Madagascar,"28,915,653","587,041","581,800"
Venezuela,"28,199,867","916,445","882,050"
Ivory Coast,"27,478,249","322,463","318,000"
Cameroon,"27,198,628","475,442","472,710"
Niger,"25,252,722","1,267,000","1,266,700"
Australia,"25,921,089","7,692,024","7,692,020"
North Korea,"25,971,909","120,538","120,410"
Taiwan,"23,859,912","36,193","36,197"
Burkina Faso,"22,100,683","272,967","273,600"
Mali,"21,904,983","1,240,192","1,220,190"
Syria,"21,324,367","185,180","183,630"
Sri Lanka,"21,773,441","65,610","61,860"
Malawi,"19,889,742","118,484","94,280"
Zambia,"19,473,125","752,612","743,390"
Romania,"19,328,560","238,391","230,080"
Chile,"19,493,184","756,102","743,532"
Kazakhstan,"19,196,465","2,724,900","2,699,700"
Ecuador,"17,797,737","276,841","248,360"
Guatemala,"17,608,483","108,889","107,160"
Chad,"17,179,740","1,284,000","1,259,200"
Somalia,"17,065,581","637,657","627,340"
Netherlands,"17,501,696","41,850","33,670"
Senegal,"16,876,720","196,722","192,530"
Cambodia,"16,589,023","181,035","176,520"
Zimbabwe,"15,993,524","390,757","386,850"
Guinea,"13,531,906","245,857","245,720"
Rwanda,"13,461,888","26,338","24,670"
Benin,"12,996,895","112,622","112,760"
Burundi,"12,551,213","27,834","25,680"
Tunisia,"12,262,946","163,610","155,360"
Bolivia,"12,079,472","1,098,581","1,083,300"
Belgium,"11,611,419","30,528","30,280"
Haiti,"11,447,569","27,750","27,560"
Jordan,"11,148,278","89,342","88,794"
Dominican Republic,"11,117,873","48,671","48,310"
Cuba,"11,256,372","109,884","103,800"
South Sudan,"10,748,272","619,745","631,930"
Sweden,"10,467,097","450,295","407,284"
Czech Republic,"10,510,751","78,865","77,199"
Honduras,"10,278,345","112,492","111,890"
Greece,"10,445,365","131,990","128,900"
Azerbaijan,"10,312,992","86,600","82,646"
Portugal,"10,290,103","92,090","91,606"
Papua New Guinea,"9,949,437","462,840","452,860"
Hungary,"9,709,786","93,028","91,260"
Tajikistan,"9,750,064","143,100","138,790"
Belarus,"9,578,167","207,600","202,980"
United Arab Emirates,"9,365,145","83,600","71,020"
Israel,"8,900,059","20,770","21,640"
Austria,"8,922,082","83,871","82,520"
Togo,"8,644,829","56,785","54,390"
Switzerland,"8,691,406","41,284","39,516"
Sierra Leone,"8,420,641","71,740","72,180"
Laos,"7,425,057","236,800","230,800"
Hong Kong,"7,494,578","1,104","1,050"
Serbia,"7,296,769","88,361","87,460"
Nicaragua,"6,850,540","130,373","120,340"
Libya,"6,735,277","1,759,540","1,759,540"
Bulgaria,"6,885,868","110,879","108,560"
Paraguay,"6,703,799","406,752","397,300"
Kyrgyzstan,"6,527,743","199,951","191,800"
Turkmenistan,"6,341,855","488,100","469,930"
El Salvador,"6,314,167","21,041","20,720"
Singapore,"5,941,060",710,718
Republic of the Congo,"5,835,806","342,000","341,500"
Denmark,"5,854,240","43,094","40,000"
Slovakia,"5,447,622","49,037","49,035"
Central African Republic,"5,457,154","622,984","622,980"
Finland,"5,535,992","338,424","303,940"
Lebanon,"5,592,631","10,452","10,230"
Norway,"5,403,021","323,802","364,285"
Liberia,"5,193,416","111,369","96,320"
Palestine,"5,133,392","6,220","6,020"
New Zealand,"5,129,727","270,467","263,310"
Costa Rica,"5,153,957","51,100","51,060"
Ireland,"4,986,526","70,273","68,890"
Mauritania,"4,614,974","1,030,700","1,030,700"
Oman,"4,520,471","309,500","309,500"
Panama,"4,351,267","75,417","74,180"
Kuwait,"4,250,114","17,818","17,820"
Croatia,"4,060,135","56,594","55,960"
Georgia,"3,757,980","69,700","69,490"
Eritrea,"3,620,312","117,600","121,041"
Uruguay,"3,426,260","181,034","175,020"
Mongolia,"3,347,782","1,564,110","1,557,507"
Moldova,"3,061,506","33,846","32,885"
Puerto Rico,"3,256,028","8,870","8,870"
Bosnia and Herzegovina,"3,270,943","51,209","51,200"
Albania,"2,854,710","28,748","27,400"
Jamaica,"2,827,695","10,991","10,830"
Armenia,"2,790,974","29,743","28,470"
Lithuania,"2,786,651","65,300","62,620"
Gambia,"2,639,916","10,689","10,120"
Qatar,"2,688,235","11,586","11,490"
Botswana,"2,588,423","582,000","566,730"
Namibia,"2,530,151","825,615","823,290"
Gabon,"2,341,179","267,668","257,670"
Lesotho,"2,281,454","30,355","30,360"
Slovenia,"2,119,410","20,273","20,136"
Guinea Bissau,"2,060,721","36,125","28,120"
North Macedonia,"2,103,330","25,713","25,220"
Latvia,"1,873,919","64,559","62,230"
Equatorial Guinea,"1,634,466","28,051","28,050"
Trinidad and Tobago,"1,525,663","5,130","5,130"
Bahrain,"1,463,265",765,785
Timor Leste,"1,320,942","14,874","14,870"
Estonia,"1,328,701","45,227","42,750"
Mauritius,"1,298,915","2,040","2,030"
Cyprus,"1,244,188","9,251","9,240"
Eswatini,"1,192,271","17,364","17,200"
Djibouti,"1,105,557","23,200","23,180"
Reunion,"966,129","2,511","2,512"
Fiji,"924,610","18,272","18,270"
Comoros,"821,625","1,862","1,861"
Guyana,"804,567","214,969","196,850"
Bhutan,"777,486","38,394","38,140"
Solomon Islands,"707,851","28,896","27,990"
Luxembourg,"639,321","2,586","2,575"
Montenegro,"627,859","13,812","13,450"
Suriname,"612,985","163,820","156,000"
Cape Verde,"587,925","4,033","4,033"
Western Sahara,"565,581","266,000","266,000"
Malta,"526,748",316,320
Maldives,"521,457",300,300
Brunei,"445,373","5,765","5,270"
Bahamas,"407,906","13,943","10,010"
Belize,"400,031","22,966","22,810"
Guadeloupe,"396,051","1,628","1,628"
Iceland,"370,335","103,000","100,830"
Martinique,"368,796","1,128","1,128"
Vanuatu,"319,137","12,189","12,190"
Mayotte,"316,014",374,374
French Guiana,"297,449","83,534","83,534"
Barbados,"281,200",430,430
Sao Tome and Principe,"223,107",964,960
Samoa,"218,764","2,842","2,780"
Saint Lucia,"179,651",616,610
Kiribati,"128,874",811,810
Grenada,"124,610",344,340
Micronesia,"113,131",702,700
Seychelles,"106,471",452,460
Tonga,"106,017",747,720
Saint Vincent and the Grenadines,"104,332",389,390
Antigua and Barbuda,"93,219",442,440
Andorra,"79,034",468,470
Dominica,"72,412",751,750
Greenland,"56,243","2,166,086","410,450"
Saint Kitts and Nevis,"47,606",261,260
Marshall Islands,"42,050",181,180
Liechtenstein,"39,039",160,160
Monaco,"36,686",2,2
San Marino,"33,745",61,60
Palau,"18,024",459,460
Nauru,"12,511",21,20
Tuvalu,"11,204",26,30
Vatican City,511,1,0.44
